QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20151116_001944	Temukan Mayor Romanas (2)
QUEST_UNUSED_20151116_001945	Hati-hati.
QUEST_UNUSED_20151116_001946	Tidak perlu terburu-buru.
QUEST_UNUSED_20151116_001947	Temukan Mayor Romanas (3)
QUEST_UNUSED_20151116_001948	Temukan Mayor Romanas (4)
QUEST_UNUSED_20151116_001949	Akan kutunggu.
QUEST_UNUSED_20151116_001950	Ikuti panah hijau untuk memasuki Orsha.
QUEST_UNUSED_20151116_001951	Dengarkan penjelasan.
QUEST_UNUSED_20151116_001952	Kamu tidak perlu melakukannya.
QUEST_UNUSED_20151116_001953	Berdoa kepada the statue of Goddess  Ausrine di Central Plaza!
QUEST_UNUSED_20151116_001954	Temukan Item Merchant.
QUEST_UNUSED_20151116_001955	Terima kasih telah memberitahuku.
QUEST_UNUSED_20151116_001956	Temukan Accessory Merchant.
QUEST_UNUSED_20151116_001957	Inesa Hamondale mencarimu.
QUEST_UNUSED_20151116_001958	Aku akan pergi kesana secepatnya.
QUEST_UNUSED_20151116_001959	Aku lelah sekarang.
QUEST_UNUSED_20151116_001960	Aku akan memikirkannya lebih dalam lagi.
QUEST_UNUSED_20151116_001961	Aku akan pergi mencarinya.
QUEST_UNUSED_20151116_001962	Aku punya beberapa hal yang harus dilakukan di sekitar sini.
QUEST_UNUSED_20151116_001963	Lakukan sendiri.
QUEST_UNUSED_20151116_001964	Aku akan melakukannya nanti.
QUEST_UNUSED_20151116_001965	Aku akan mencarinya.
QUEST_UNUSED_20151116_001966	Akan sulit mencarinya.
QUEST_UNUSED_20151116_001967	Aku akan berhenti.
QUEST_UNUSED_20151116_001968	Akan menjadi kerjakeras tanpa hasil.
QUEST_UNUSED_20151116_001969	Aku akan pergi menemuinya.
QUEST_UNUSED_20151116_001970	Ada hal yang harus kulakukan.
QUEST_UNUSED_20151116_001971	Berbicara…
QUEST_UNUSED_20151116_001972	Aku akan pergi menyelamatkannya.
QUEST_UNUSED_20151116_001973	Aku belum siap.
QUEST_UNUSED_20151116_001974	Akan sulit mencarinya.
QUEST_UNUSED_20151116_001975	Ini tidak berguna.
QUEST_UNUSED_20151116_001976	Aku akan menghancurkannya.
QUEST_UNUSED_20151116_001977	Pergi ketempat yang lebih aman.
QUEST_UNUSED_20151116_001978	Aku akan pergi mengumpulkannya.
QUEST_UNUSED_20151116_001979	Ini ide yang ekstrim.
QUEST_UNUSED_20151116_001980	Aku akan pergi mencarinya.
QUEST_UNUSED_20151116_001981	Aku akan kembali setelah melaporkannya.
QUEST_UNUSED_20151116_001982	Akan kuikuti segera.
QUEST_UNUSED_20151116_001983	Mari lihat ke dalam.
QUEST_UNUSED_20151116_001984	Akan kucoba menghancurkannya.
QUEST_UNUSED_20151116_001985	Aku akan pergi merebutnya.
QUEST_UNUSED_20151116_001986	Akan kukumpulkan dengan cukup.
QUEST_UNUSED_20151116_001987	Akan kuikuti segera.
QUEST_UNUSED_20151116_001988	Kita belum cukup siap.
QUEST_UNUSED_20151116_001989	Aku akan pergi mencarinya.
QUEST_UNUSED_20151116_001990	Ada hal yang harus kulakukan.
QUEST_UNUSED_20151116_001991	Ini absurb.
QUEST_UNUSED_20151116_001992	Aku akan pergi menyingkirkannya.
QUEST_UNUSED_20151116_001993	Aku akan segera pergi.
QUEST_UNUSED_20151116_001994	Masih ada yang harus dilakukan.
QUEST_UNUSED_20151116_001995	Buang-buang waktu.
QUEST_UNUSED_20151116_001996	Kualifikasi sebagai seorang swordsman [Swordsman Advancement]
QUEST_UNUSED_20151116_001997	Tentu aku ingin menjadi lebih kuat.
QUEST_UNUSED_20151116_001998	Kemampuanmu cukup.
QUEST_UNUSED_20151116_001999	Kemampuan two handed sword [Highlander Advancement](1)
QUEST_UNUSED_20151116_002000	Aku cukup percaya diri melewati setiap test.
QUEST_UNUSED_20151116_002001	Aku tidak mau melakukannya jika menimbulkan masalah.
QUEST_UNUSED_20151116_002002	Kemampuan two handed sword [Highlander Advancement](2)
QUEST_UNUSED_20151116_002003	Tanyalah tugas berikutnya.
QUEST_UNUSED_20151116_002004	Aku berhenti sekarang.
QUEST_UNUSED_20151116_002005	The process of the birth of a colleague [Peltasta Advancement]
QUEST_UNUSED_20151116_002006	Ya. Itu dia.
QUEST_UNUSED_20151116_002007	Aku tidak begitu peduli.
QUEST_UNUSED_20151116_002008	Untuk missi yang suci [Cleric Advancement]
QUEST_UNUSED_20151116_002009	Aku punya tugas penting lainnya.
QUEST_UNUSED_20151116_002010	Berkat dari Goddesses [Krivi Advancement]
QUEST_UNUSED_20151116_002011	Aku baik-baik saja.
QUEST_UNUSED_20151116_002012	Apakah aku perlu menjalani test ketika menolong orang?
QUEST_UNUSED_20151116_002013	Awal keberkahan [Priest Advancement]
QUEST_UNUSED_20151116_002014	Tanyakan apa yang harus kamu siapkan.
QUEST_UNUSED_20151116_002015	Aku tidak perlu keberuntungan.
QUEST_UNUSED_20151116_002016	Jalan untuk melewati kesulitan [Swordsman Advancement]
QUEST_UNUSED_20151116_002017	Aku akan pergi kemana saja.
QUEST_UNUSED_20151116_002018	Aku tidak akan melakukannya sendiri.
QUEST_UNUSED_20151116_002019	Two handed sword yang akan kamu gunakan [Highlander Advancement]
QUEST_UNUSED_20151116_002020	Aku sudah menunggumu.
QUEST_UNUSED_20151116_002021	Terasa tidak cocok di tanganku.
QUEST_UNUSED_20151116_002022	Yang terakhir selamat adalah yang terkuat [Peltasta Advancement]
QUEST_UNUSED_20151116_002023	Aku siap memperlajarinya.
QUEST_UNUSED_20151116_002024	Test Resmi [Hoplite Advancement]
QUEST_UNUSED_20151116_002025	Katakan saja kemana aku harus pergi.
QUEST_UNUSED_20151116_002026	Jika terlalu rumit, akan kulewati.
QUEST_UNUSED_20151116_002027	Kemampuan yang harus dimiliki Swordsman [Barbarian Advancement]
QUEST_UNUSED_20151116_002028	Belum saatnya.
QUEST_UNUSED_20151116_002029	Gerakan penyelamat [Cleric Advancement]
QUEST_UNUSED_20151116_002030	Apa yang harus kulakukan?.
QUEST_UNUSED_20151116_002031	Yang lain sudah mulai menolong.
QUEST_UNUSED_20151116_002032	Berdoa kepada Goddess  statue [Krivi Advancement]
QUEST_UNUSED_20151116_002033	Tanyalah kemana harus pergi.
QUEST_UNUSED_20151116_002034	Aku berdoa setiap hari.
QUEST_UNUSED_20151116_002035	Menggali Obat-obatan [Priest Advancement]
QUEST_UNUSED_20151116_002036	Beri aku tugas
QUEST_UNUSED_20151116_002037	Aku tidak ingin melakukan hal yang melelahkan.
QUEST_UNUSED_20151116_002038	Bokor adalah...[Bokor Advancement]
QUEST_UNUSED_20151116_002039	Apakah ini pembuatan Doll?
QUEST_UNUSED_20151116_002040	Aku tidak tertarik.
QUEST_UNUSED_20151116_002041	Pembuatan perlu beberapa alat [Divdirbys Advancement](1)
QUEST_UNUSED_20151116_002042	Apa tugasnya?
QUEST_UNUSED_20151116_002043	Lakukan trivial tasks sendiri
QUEST_UNUSED_20151116_002044	Pembuatan perlu beberapa alat [Divdirbys Advancement](2)
QUEST_UNUSED_20151116_002045	Aku akan menunggu sampai material sampai.
QUEST_UNUSED_20151116_002046	Pembuatan perlu beberapa alat [Divdirbys Advancement](3)
QUEST_UNUSED_20151116_002047	Determinasi Highlander [Highlander Advancement]
QUEST_UNUSED_20151116_002048	Aku memintamu dengan rendah hati.
QUEST_UNUSED_20151116_002049	Aku sudah cukup kuat.
QUEST_UNUSED_20151116_002050	Periksa batasmu [Peltasta Advancement]
QUEST_UNUSED_20151116_002051	Aku memintamu.
QUEST_UNUSED_20151116_002052	Aku berhenti.
QUEST_UNUSED_20151116_002053	Retrieve the lost items [Hoplite Advancement]
QUEST_UNUSED_20151116_002054	Tentu.
QUEST_UNUSED_20151116_002055	Ini tidak banyak.
QUEST_UNUSED_20151116_002056	Hanya dengan kemampuanmu sendiri [Barbarian Advancement]
QUEST_UNUSED_20151116_002057	Beri aku beberapa pelajaran.
QUEST_UNUSED_20151116_002058	Aku sudah cukup belajar.
QUEST_UNUSED_20151116_002059	Layaknya dinding yang tak terlihat [Rodelero Advancement]
QUEST_UNUSED_20151116_002060	Kemampuan memutar spear [Cataphract Advancement]
QUEST_UNUSED_20151116_002061	Pemurnian dari api [Krivis Advancement]
QUEST_UNUSED_20151116_002062	Tentu aku akan menerimanya.
QUEST_UNUSED_20151116_002063	Aku tidak suka lagi dengan test.
QUEST_UNUSED_20151116_002064	Kemampuan minimal untuk melindungi diri [Priest Advancement]
QUEST_UNUSED_20151116_002065	Tanya bagaimana kamu menunjukkannya.
QUEST_UNUSED_20151116_002066	Terlalu banyak untuk digunakan.
QUEST_UNUSED_20151116_002067	Apa yang tersisa dari mereka [Bokor Advancement]
QUEST_UNUSED_20151116_002068	Mencari material langka [Divdirbys Advancement]
QUEST_UNUSED_20151116_002069	Tanya material seperti apa.
QUEST_UNUSED_20151116_002070	Aku tidak ingin menerima tugas apapun.
QUEST_UNUSED_20151116_002071	Meminjam kemampuan [Sadhu Advancement]
QUEST_UNUSED_20151116_002072	Tidak terlihat baik seperti yang aku kira.
QUEST_UNUSED_20151116_002073	Kekuatan yang dibutuhkan kerajaan [Paladin Advancement]
QUEST_UNUSED_20151116_002074	Aku percaya diri dengan penuh kekuatan.
QUEST_UNUSED_20151116_002075	Berkata menginginkan permintaan yang sedikit lebih tulus.
QUEST_UNUSED_20151116_002076	Terkadang, tanpa kolega [Rodelero Advancement]
QUEST_UNUSED_20151116_002077	Jika itu cara menjadi lebih kuat, akan kuikuti.
QUEST_UNUSED_20151116_002078	Aku tidak mengerti kenapa kamu menyerah.
QUEST_UNUSED_20151116_002079	Bersama partner [Cataphract Advancement]
QUEST_UNUSED_20151116_002080	Mereka dalam kondisi sempurna.
QUEST_UNUSED_20151116_002081	Kondisi mereka terlihat tidak begitu baik.
QUEST_UNUSED_20151116_002082	Pelajari, gunakan, dan kembangkan [Bokor Advancement]
QUEST_UNUSED_20151116_002083	Terima kasih
QUEST_UNUSED_20151116_002084	Terlalu banyak untuk saat ini.
QUEST_UNUSED_20151116_002085	Perbaiki Goddess  statue[Divdirbys Advancement](1)
QUEST_UNUSED_20151116_002086	Aku akan menantangnya.
QUEST_UNUSED_20151116_002087	Aku rasa aku akan baik-baik saja dengan apa yang aku pelajari selama ini.
QUEST_UNUSED_20151116_002088	Perbaiki Goddess  statue [Divdirbys Advancement](2)
QUEST_UNUSED_20151116_002089	Akan kuperbaiki Goddess  statues.
QUEST_UNUSED_20151116_002090	Bagikanlah kemampuanmu [Sadhu Advancement]
QUEST_UNUSED_20151116_002091	Lewati kesulitan [Paladin Advancement]
QUEST_UNUSED_20151116_002092	Monster yang lebih kuat dariku amat banyak saat ini.
QUEST_UNUSED_20151116_002093	Kekuatan yang memimpin lainnya [Rodelero Advancement]
QUEST_UNUSED_20151116_002094	Yang menembus apa saja [Cataphract Advancement]
QUEST_UNUSED_20151116_002095	Mengurangi sumber sakit [Sadhu Advancement]
QUEST_UNUSED_20151116_002096	Kekuatan suci [Paladin Advancement]
QUEST_UNUSED_20151116_002097	Tanya bagaimana membuktikannya.
QUEST_UNUSED_20151116_002098	Aku tidak ingin membuktikannya.
QUEST_UNUSED_20151116_002099	Hentikan New Plot
QUEST_UNUSED_20151116_002100	Investigasi Magically Imbued Objects
QUEST_UNUSED_20151116_002101	Untuk ledakan yang lebih besar
QUEST_UNUSED_20151116_002102	Memulai di Area
QUEST_UNUSED_20151116_002103	Hancurkan Magic Circle Generating Device
QUEST_UNUSED_20151116_002104	Persiapan selesai.
QUEST_UNUSED_20151116_002105	Bukti ada di dalam runtuhan.
QUEST_UNUSED_20151116_002106	Untuk mereka yang mengingatnya.
QUEST_UNUSED_20151116_002107	Jadilah kandidat berikutnya.
QUEST_UNUSED_20151116_002108	Memanfaatkan sumber
QUEST_UNUSED_20151116_002109	Sayang sekali tidak dipercaya.
QUEST_UNUSED_20151116_002110	Kembali dengan cepat.
QUEST_UNUSED_20151116_002111	Investigasi berlanjut
QUEST_UNUSED_20151116_002112	Pengadilan yang terburu-buru
QUEST_UNUSED_20151116_002113	Operasi Device Blocking
QUEST_UNUSED_20151116_002114	Langkah pertama ke Camp Defense
QUEST_UNUSED_20151116_002115	Makan atau dimakan
QUEST_UNUSED_20151116_002116	Bermain dengan racun
QUEST_UNUSED_20151116_002117	First Aid Supplies
QUEST_UNUSED_20151116_002118	Paustas Tracking Operation (1)
QUEST_UNUSED_20151116_002119	Paustas Tracking Operation (2)
QUEST_UNUSED_20151116_002120	Pasang perangkap
QUEST_UNUSED_20151116_002121	Menukar Spirit
QUEST_UNUSED_20151116_002122	Jalan menujunya
QUEST_UNUSED_20151116_002123	Efek samping yang tidak diharpkan
QUEST_UNUSED_20151116_002124	Ini hanya sebuah awal
QUEST_UNUSED_20151116_002125	Jadi kemungkinan tidak pernah berulang
QUEST_UNUSED_20151116_002126	Sudut yang bersinar
QUEST_UNUSED_20151116_002127	Menemukan petunjuk pada plot
QUEST_UNUSED_20151116_002128	Prosedur yang sulit
QUEST_UNUSED_20151116_002129	Sekarang kita bisa beristirahat…
QUEST_UNUSED_20151116_002130	Aku akan pergi; Bagaimana bentuk dari herbs itu ?
QUEST_UNUSED_20151116_002131	Aku adalah Savior
QUEST_UNUSED_20151116_002132	Jangan berisik
QUEST_UNUSED_20151116_002133	Aku akan menghancurkan totemnya.
QUEST_UNUSED_20151116_002134	Aku akan menolak.
QUEST_UNUSED_20151116_002135	Itu sedikit terlalu banyak.
QUEST_UNUSED_20151116_002136	Retrieving the red water…
QUEST_UNUSED_20151116_002137	Aku akan berangkan secepatnya.
QUEST_UNUSED_20151116_002138	Aku tidak berpikir bahwa itu dibutuhkan.
QUEST_UNUSED_20151116_002139	Aku akan melakukannya segera.
QUEST_UNUSED_20151116_002140	Mari kita lihat pada sapling perempuan itu.
QUEST_UNUSED_20151116_002141	Mari kita tunggu dan lihat apa yang terjadi.
QUEST_UNUSED_20151116_002142	Aku takut, aku tidak dapat membantumu sekarang.
QUEST_UNUSED_20151116_002143	Aku akan menyusun rencana.
QUEST_UNUSED_20151116_002144	Aku akan mencoba dan menghancurkannya.
QUEST_UNUSED_20151116_002145	Itu terlihat sulit
QUEST_UNUSED_20151116_002146	Aku akan kembali setelah menghancurkannya.
QUEST_UNUSED_20151116_002147	Memercikkan demon poison
QUEST_UNUSED_20151116_002148	Apabila kamu lakukan lagi, tidak ada untungnya untuk kamu.
QUEST_UNUSED_20151116_002149	Aku akan pergi segera.
QUEST_UNUSED_20151116_002150	Mari kita tunggu sebentar.
QUEST_UNUSED_20151116_002151	Aku fikir ini akan sulit.
QUEST_UNUSED_20151116_002152	Jalan satu arah
QUEST_UNUSED_20151116_002153	Aku tidak punya alasan untuk pergi kesana.
QUEST_UNUSED_20151116_002154	Pencegahan kecelakaan
QUEST_UNUSED_20151116_002155	Mengerti.
QUEST_UNUSED_20151116_002156	Wizard Master mengeluhkan mengenai tidak adanya yang maju untuk menyelesaikan masalah monster yang memberikan ancaman serius. Pergi ke East Siauliai Woods dan kalahkan Ironbaum.
QUEST_UNUSED_20151116_002157	Mengatur Namotts of Purification di Canyon Area 36_1
QUEST_UNUSED_20151116_002158	Oracle Master mengatakan evil energy telah menjadi lebih kuat dan mempengaruhi kekuatannya. Pergi ke Canyon Area 36_1, dimana evil energy berada dalam kondisi terkuat, dan memasang Namotts of Purification.
QUEST_UNUSED_20151116_002159	Kamu telah memasang semua Namotts of Purification. Kembali kepada Oracle Master.
QUEST_UNUSED_20151116_002160	Tiba - tiba para monster datang dan menyerang pilar! Lindungi pilar.
QUEST_UNUSED_20151116_002161	Tampaknya para monster bereaksi terhadap black powder. Karena kamu telah mengalahkan semua monster, Hapus seluruh black powder yang terdapat di  pilar.
QUEST_UNUSED_20151116_002162	Kumpulkan luminous oil
QUEST_UNUSED_20151116_002163	Kamu tidak dapat memeriksa surat bahkan dengan crystal yang menyinari cahaya ray yang misterius. Tampaknya kamu membutuhkan luminous oil dari monster terdekat.
QUEST_UNUSED_20151116_002164	Kamu telah mengumpulkan seluruh luminous oil. Kembali ke pilar dan baca surat di pilar.
QUEST_UNUSED_20151116_002165	Dapatkan luminous oil dari monster
QUEST_UNUSED_20151116_002166	Ketika kamu mengatakan nomor special, Tampaknya kamu akan dapat membaca surat di pilar. Dapatkan petunjuk dari beberapa warna pilar yang spesifik dan masukkan nomor di dalam chat window dekat pilar.
QUEST_UNUSED_20151116_002167	Tulisan telah terlihat di pilar. Bergerak mendekat untuk membacanya.
QUEST_UNUSED_20151116_002168	Secara tiba - tiba sebuah pilar muncul entah dari mana. Sebelum itu menghilang, Pergi kesana dan periksa lah.
QUEST_UNUSED_20151116_002169	Mengumpulkan shining moss
QUEST_UNUSED_20151116_002170	Kamu akan membutuhkan shining moss untuk membaca surat yang terdapat di pilar, Tapi apabila kamu tidak kembali dalam 5 menit, pilar akan menghilang jadi kamu harus cepat.
QUEST_UNUSED_20151116_002171	Sekarang, kamu akan dapat membaca surat yang terdapat di pilar. Kembali ke pilar dan baca suratnya.
QUEST_UNUSED_20151116_002172	Mengumpulkan sticky liquid
QUEST_UNUSED_20151116_002173	Pilarnya rubuh walaupun kamu tidak menyentuhnya. Tampaknya kamu harus memperbaiki pilar jadi tolong dapatkan sticky liquid dari para monster terdekat.
QUEST_UNUSED_20151116_002174	Perbaiki pilarnya
QUEST_UNUSED_20151116_002175	Kamu telah mendapatkan seluruh stick liquid. Kembali ke pilar dan perbaiki.
QUEST_UNUSED_20151116_002176	Kamu dapat melihat seseorang mengamati tombstone di Pasaka Canyon. Temui dia.
QUEST_UNUSED_20151116_002177	Selamatkan Albinas yang merasa dalam bahaya
QUEST_UNUSED_20151116_002178	Hancurkan Nestoses tombstone di Usas Hill
QUEST_UNUSED_20151116_002179	Albina memberitahukan kamu bahwa tombstone yang mengeluarkan red energy itu terkontaminasi dan menarik monster. Pergi ke Usas Hill dan hancurkan tombstone yang terkontaminasi.
QUEST_UNUSED_20151116_002180	Kamu dapat menlihat Nestoses tombstone yang terkontaminasi di Usas Hill yang telah diberitahukan oleh Albinas sebelumnya. Hancurkan segera.
QUEST_UNUSED_20151116_002181	Periksa tombstone yang hancur
QUEST_UNUSED_20151116_002182	Seperti yang Albinas katakan sebelumnya, kamu telah menghancurkan tombstone. Periksa lagi.
QUEST_UNUSED_20151116_002183	Laporkan ke Albinas
QUEST_UNUSED_20151116_002184	Kamu telah menghancurkan tombstone seperti yang diberitahu Albinas. Kembali ke Albinas sekarang.
QUEST_UNUSED_20151116_002185	Kembali ke Albinas dan laporkan
QUEST_UNUSED_20151116_002186	Damiyonas marah dan mengatakan bahwa tombstone tidak terkontaminasi. Kembali ke Albinas, katakan padanya mengenai hal ini dan bawa dia kesini.
QUEST_UNUSED_20151116_002187	Albinas telah menghilang. Tampaknya kamu harus kembali ke Damiyonas dan menjelaskannya.
QUEST_UNUSED_20151116_002188	Sebagai rasa penyesalan dan permintaan maaf, tampaknya kamu harus menolong Damiyonas. Bicara dengan Damiyonas sekali lagi.
QUEST_UNUSED_20151116_002189	Bicara dengan Damiyonas kamu akan memperbaiki tombstone.
QUEST_UNUSED_20151116_002190	Kumpulkan stones yang akan digunakan sebagai material untuk memperbaiki
QUEST_UNUSED_20151116_002191	Untuk memperbaiki tombstone, kamu akan membutuhkan beberapa stones. Kumpulkan beberapa stones dan kembali ke camp of Nestoses.
QUEST_UNUSED_20151116_002192	Berbicara pada Edinas di camp of Nestoses
QUEST_UNUSED_20151116_002193	Kamu telah mendapatkan seluruh stones yang dapat digunakan sebagai material. Minta Edinas di camp of Nestoses untuk merifine itu agar dapat digunakan sebagai material.
QUEST_UNUSED_20151116_002194	Kamu harus menjelaskan seluruh kejadiannya sejauh ini kepada Edinas
QUEST_UNUSED_20151116_002195	Kalahkan monster terdekat
QUEST_UNUSED_20151116_002196	Tampaknya Edinas merasa tidak senang setelah mendengar tombstone telah dirusak. Dia kan merifine material karena Damiyonas yang meminta, tapi sementara itu dia minta kamu mengalahkan monster disekitar.
QUEST_UNUSED_20151116_002197	Kembali ke Edinas dan laporkan
QUEST_UNUSED_20151116_002198	Albinas terlihat mencurigakan. Kembali ke camping ground of Anastoses dan tanyakan tentang Albinas.
QUEST_UNUSED_20151116_002199	Mendapatkan material untuk penelitian
QUEST_UNUSED_20151116_002200	Mendapatkan material untuk penelitian
QUEST_UNUSED_20151116_002201	Tampaknya Gedas akan membutuhkan bantuanmu sebagai imbalan mendapatkan info tentang Albinas. Tolong dapatkan material untuk penelitian Gedas dari monster sekitar. Beberapa monster mungkin memiliki  lebih banyak dokumen dari yang kamu perkirakan ketika kamu check dengan menekan spacebar.
QUEST_UNUSED_20151116_002202	Serahkan semuanya kepada Gedas
QUEST_UNUSED_20151116_002203	Kumpulkan material untuk Flame Bomb Powder
QUEST_UNUSED_20151116_002204	Gedas memberitahukan bahwa dia mengirim temannya untuk mencari informasi tentang Albinas. Signal bombs harus dipersiapkan untuk situasi ketika mereka dalam kondisi berbahaya jadi dia meminta mu untuk mendapatkan materialnya. Tolong dapatkan flame bomb powder dari para monster.
QUEST_UNUSED_20151116_002205	Tanyakan Gedas mengenai flame bombs dan infestigasi tentang kebenarannya.
QUEST_UNUSED_20151116_002206	Sambil menunggu hasil dari investigasi datang, Gedas akan meminta mu untuk menemui Barte yang merupakan salah satu member Anastoses yang baru saja tiba. Kamu sebaiknya bertanya apakah dia melihat sesuatu ketika datang kesini.
QUEST_UNUSED_20151116_002207	Kumpulkan jejak monster dari Majiva Grave Field
QUEST_UNUSED_20151116_002208	Serahkan leather pieces ke Barte
QUEST_UNUSED_20151116_002209	Kumpulkan pieces of leathers dari monster
QUEST_UNUSED_20151116_002210	Biarkan Gedas mengetahui tentang symbol of the leather
QUEST_UNUSED_20151116_002211	Barte memberitahukan kepada kamu bahwa simbol yang tergambar di leather merupakan milik Baiga. Beritahukan hal ini kepada Gedas.
QUEST_UNUSED_20151116_002212	Meminta bantuan kepada Edinas of Nestoses
QUEST_UNUSED_20151116_002213	Gedas told you that in order to fight against the demons, he would need the help of Nestoses. Go meet Edinas at the camp of Nestoses and ask for help.
QUEST_UNUSED_20151116_002214	Pergi ke Liugas Access Road dan selamatkan Paviyus
QUEST_UNUSED_20151116_002215	Untuk menyelamatkan Paviyus dan mengalahkan Albinas, pergi ke Liugas Access Road tempat dimana kamu menemui Albinas untuk pertama kali.
QUEST_UNUSED_20151116_002216	Kalahkan Albinas
QUEST_UNUSED_20151116_002217	Ketika kamu memercikkan devine water, Albinas menampakkan wujud aslinya dan berubah menjadi Firerod! Jangan lewatkan kesempatan ini dan kalahkan Firerod!
QUEST_UNUSED_20151116_002218	Laporkan kepada Gedas
QUEST_UNUSED_20151116_002219	Beritahukan Edinas di Nestos camp ceritanya
QUEST_UNUSED_20151116_002220	Beritahukan Damiyonas di Usas Hill ceritanya
QUEST_UNUSED_20151116_002221	Penyihir pendatang baru Leopoldas telah memberitahukan mu sebelumnya tentang sisi kanan. Diantara mereka, bicara dengan pendatang baru bernama Gerda. Mungkin ada sesuatu yang dapat kamu bantu.
QUEST_UNUSED_20151116_002222	Perhatikan notice board di Kluibe Road
QUEST_UNUSED_20151116_002223	Gerda memberitahukan kepada kamu banyak hal yang harus dilakukan, ada tugas untuk memasang  the notice boards di beberapa tempat. Bantu dia untuk memasang notice board di Kluibe Road.
QUEST_UNUSED_20151116_002224	Kamu telah memasang notice board di Kluibe Road seperti yang Gerda minta padamu. Sekarang, kembali kepada Gerda.
QUEST_UNUSED_20151116_002225	Gunakan scroll of Kedora Merchants untuk Savior yang baru
QUEST_UNUSED_20151116_002226	Kedora Merchants tengah membantu Saviors yang baru. Tolong gunakan scroll of Kedora Merchants kepadaSaviors yang baru yang berada diantara level 1 dan level 10 dekat Orsha atau Klaipeda. Tapi, kamu tidak dapat menggunakan pada Saviors yang telah menerima keuntungan.
QUEST_UNUSED_20151116_002227	Kamu telah menolong Saviors yang baru. Kembali ke Serapinas dan biarkan dia tahu.
QUEST_UNUSED_20151116_002228	Mendapatkan sacred objects yang telah dihilangkan merchants
QUEST_UNUSED_20151116_002229	Edita meminta kamu untuk mendapatkan kembali sacred objects yang telah hilang di Goanar Path. Kalahkan para monster dalam perjalanan kembali.
QUEST_UNUSED_20151116_002230	Serahkan kembali kepada Edita
QUEST_UNUSED_20151116_002231	Kamu telah mengahkan semua monster dan mendapatkan kembali sacred objects. Tolong kembalikan kepada Edita.
QUEST_UNUSED_20151116_002232	Kalahkan para monster dekat Goanar Path
QUEST_UNUSED_20151116_002233	Dapatkan barang dari merchants di Kluibe Road.
QUEST_UNUSED_20151116_002234	Monster bergegas menuju tempat dimana barang tersebut diperkirakan berada. Kalahkan mereka dan dapatkan kembali barang dari merchants.
QUEST_UNUSED_20151116_002235	Serahkan itu kepada Jurate
QUEST_UNUSED_20151116_002236	Kamu telah mendapatkan barang dari merchants. Kembali ke Jurate dan tanyakan barang apa ini.
QUEST_UNUSED_20151116_002237	Mendapatkan %s setelah mengalahkan monster
QUEST_UNUSED_20151116_002238	Kalahkan para monster dan dapatkan damp piece of a paper
QUEST_UNUSED_20151116_002239	Carilah barang merchant dengan menggunakan detector di Juikas Field
QUEST_UNUSED_20151116_002240	Selidiki Juikas Field dengan detector yang diberikan oleh Edita. Kamu akan mengetahui arah ketika menggunakan detector yang di tandai pada map.
QUEST_UNUSED_20151116_002241	Laporkan kepada Edita
QUEST_UNUSED_20151116_002242	Kamu telah menemukan barang merchant  dengan menggunakan detector. Berikan kembali kepada Edita.
QUEST_UNUSED_20151116_002243	Dapatkan educational materials dari para monster
QUEST_UNUSED_20151116_002244	Serahkan hal itu kepada Marzelius
QUEST_UNUSED_20151116_002245	Dapatkan educational materials dari para monster
QUEST_UNUSED_20151116_002246	Kumpulkan body fluid dari monster
QUEST_UNUSED_20151116_002247	Untuk membuat educational documents, kamu akan membutuhkan special ink. Letakkan trap yang diberikan Marzelius kepada kamu di Drose Empty Lot, Tangkap mosnternya dan dapatkan body fluid.
QUEST_UNUSED_20151116_002248	Kumpulkan material untuk membuat tombstones
QUEST_UNUSED_20151116_002249	Berikan hal itu kepada  Antanas
QUEST_UNUSED_20151116_002250	Kamu telah mendapatkan seluruh material yang dibutuhkan untuk memebuat tombstone. Sekarang, kembali ke Antanas.
QUEST_UNUSED_20151116_002251	Karena kamu telah mengumpulkan seluruh material, Sekarang tanyakan dapatkah kamu membuat tombstone.
QUEST_UNUSED_20151116_002252	Mendapatkan chisel dan hammer yang diminta secara khusus dari blacksmith di Orsha
QUEST_UNUSED_20151116_002253	Antanas memesan peralatan special untuk membuat tombstone. Pergi dan temui blacksmith di Orsha untuk mendapatkan chisel dan hammer yang di pesan secara khusus.
QUEST_UNUSED_20151116_002254	Antanas memesan hammer dan chisel, tapi blacksmith hanya memberikan mu hammer. Tanyakan apa yang terjadi dengan chisel.
QUEST_UNUSED_20151116_002255	Mendapatkan chisel yang dipesan secara special dari blacksmith di Orsha
QUEST_UNUSED_20151116_002256	Blacksmith di Orsha menyerahkan pekerjaan kepada equipment merchant untuk penyelesaian. Pergi dan temui equipment merchant untuk mendapatkan chisel.
QUEST_UNUSED_20151116_002257	Kamu telah mendapatkan chisel dan the hammer. Sekarang, serahkan itu kepada Antanas.
QUEST_UNUSED_20151116_002258	Sepertinya kamu telah memberikan pertolongan pada masalah Antanas. Bicara kepadanya untuk terakhir kali.
QUEST_UNUSED_20151116_002259	Membuat tombstone
QUEST_UNUSED_20151116_002260	Antanas menganjurkan kamu untuk membuat tombstone. Itu akan menjadi pengalaman yang bagus.
QUEST_UNUSED_20151116_002261	Tombstone telah berhasil dibuat. Sekarang saatnya berpamitan dengan Antanas.
