QUEST_20150317_000001	Pilih user untuk memodifikasi quest.
QUEST_20160218_003322	Jika kamu berburu Charcoal Walkers, beberapa diantara mereka memiliki anak panah di tubuhnya dan kamu masih bisa menggunakan…
QUEST_20160218_003323	Savior Yane
QUEST_20160218_003324	Tunggu, bagaimana ini bisa terjadi?{nl}Bukankah kamu bilang magic supply device telah hancur!{nl}
QUEST_20160218_003325	Bukankah protective shield di sekitar Kruvina device masih utuh?
QUEST_20160218_003326	Itu mustahil... aku yakin sekali itu telah lenyap...{nl}
QUEST_20160218_003327	Tunggu sebentar!{nl}Itu berarti Delmore Rephaim mengubah tata letak device setelah aku pergi!
QUEST_20160218_003328	Mungkinkah begitu?{nl}Jadi kamu juga hanyalah sebuah pion dari Lord Delmore...{nl}
QUEST_20160218_003329	Apa yang kamu ketahui tidaklah berguna dan sekarang aku tidak yakin bisa mempercayaimu.{nl}Kita harus menemukan cara untuk menghentikannya dengan cara kita sendiri.
QUEST_20160218_003330	Yane. Tunggu.{nl}Bukankah lebih baik membantu Melchioras terlebih dahulu dan menemukan cara lain untuk memecahkan masalah ini?
QUEST_20160218_003331	Biarkan Mihail membantu Melchioras.{nl}Sejauh yang aku ketahui sudah saatnya bagi kita untuk bertindak secara terpisah.
QUEST_20160218_003332	Baiklah semua, ayo kita pergi.{nl}Kita harus menemukan cara untuk menghancurkan Kruvina device bersama-sama.
QUEST_20160218_003333	Aku mengabaikan.{nl}Untuk berpikir bahwa Delmore Rephaim memiliki kaitan dengan semua ini…
QUEST_20160218_003334	Aku paham Yane itu seperti apa.{nl}Dalam situasi seperti ini ia pasti akan mencoba dan menghancurkan device secara paksa.{nl}
QUEST_20160218_003335	Saya tidak yakin kata-kata kita bisa menenangkannya.{nl}Melchioras, kita perlu mencari cara lain sebelum Yane pergi ke sana.
QUEST_20160218_003336	Oh... kamu Savior yang sebelumnya.{nl}Kamu yang membantu Mihail dan Melchioras, bukan?{nl}
QUEST_20160218_003337	Itu bagus.{nl}Informasi yang kamu temukan sangatlah penting, Kamu harus memberitahu mereka juga.{nl}
QUEST_20160218_003338	Mencari disekitar area yang terlihat mencurigakan kami menemukan sebuah dokumen rahasia{nl}yang disembunyikan oleh Lord Delmore. Kami juga menemukan cara untuk menghancurkan Kruvina device.{nl}
QUEST_20160218_003339	Kami sudah siap di sini...{nl}Pergi dan beritahu Mihail untuk datang menemui kami di Palma Plaza device.{nl}
QUEST_20160218_003340	Kita akan bergabung dan menyerang sekaligus.{nl}Kamu juga bisa ikut bergabung, jika kamu bisa.
QUEST_20160218_003341	Berhenti!{nl}Semuanya, menjauh dari device!
QUEST_20160218_003342	Selamat datang, Mihail.{nl}Sekarang ayo kita bergegas dan hancurkan device ini.
QUEST_20160218_003343	Aku tahu, menjauhlah dari device, cepat!{nl}Yane! Hei!
QUEST_20160218_003344	Delmore Rephaim
QUEST_20160218_003345	Sungguh menyenangkan bisa melihat kalian semua berkumpul di sini.{nl}Sekarang, berikan semuanya kepadaku!
QUEST_20160218_003346	Beri aku lebih banyak nyawa... Lebih banyak kekuatan!
QUEST_20160218_003347	Tidak!!{nl}Bagaimana ini bisa terjadi...{nl}
QUEST_20160218_003348	Aku akan menghancurkan magic pada device itu walaupun aku harus kehilangan seluruh{nl}kekuatanku dan hidupku! Tolong selamatkan aku!
QUEST_20160218_003349	Ah... kamukah Melchioras, si pengkhianat itu?{nl}Aku harus berterima kasih kepadamu.{nl}
QUEST_20160218_003350	Kamu dan Savior Yane berada disana juga...{nl}Kamu tidak tahu bagaimana menyenangkannya melihat kalian dari kejauhan…
QUEST_20160218_003351	Apa yang kamu lakukan, Melchioras!!{nl}Pergilah bersembunyi seperti pengecut!!{nl}
QUEST_20160218_003352	Baiklah... Mari kita lihat seberapa hebat kamu untuk bisa menghancurkannya.{nl}Aku akan membuatmu merasakan bagaimana kekuatan Kruvina ketika digunakan!
QUEST_20160218_003353	Apakah semuanya baik-baik saja?
QUEST_20160218_003354	Apa yang sudah Aku lakukan...{nl}Ini semua adalah salahku... Aku sangat ceroboh…
QUEST_20160218_003355	Melchioras dalam bahaya.{nl}aku akan menyelamatkannya!
QUEST_20160218_003356	Yane! Tunggu!
QUEST_20160218_003357	Kita harus pergi mengejarnya.{nl}Kalian yang terluka tinggallah di sini dan atasi demon lainnya.
QUEST_20160218_003358	Follower Bigs
QUEST_20160218_003359	Kalau saja kami lebih kuat kami pasti bisa membantu Savior...{nl}Yang bisa kami lakukan hanyalah meratapi keterbatasan kami.
QUEST_20160218_003360	Bahkan ada yang mengatakan ia menculik seorang wizard dan melarikan diri...{nl}Ia pasti bukan orang biasa.
QUEST_20160218_003361	Terima kasih. Dengan keberadaan orang yang hebat sepertimu, seharusnya itu tidak ada masalah.
QUEST_20160218_003362	Tidak ada yang tahu sejauh mana kekuatan jahat bekerja.{nl}Lihatlah bagaimana mereka membangun device tersebut.
QUEST_20160218_003363	Terima kasih.{nl}Telah menyediakan lahan yang cukup untuk menempatkannya atau ini tidak akan bekerja, jadi berhati-hatilah.
QUEST_20160218_003364	Conner dan aku akan mengambil jalan sebelah kanan.{nl}Kamu dan Mihail pergi lewati jalan keatas.{nl}Monster di sini sangat aggresif jadi berhati-hatilah.{nl}{nl}Conner dan aku akan menuju ke arah Tagica Crossroads.{nl}Kamu dan Mihail pergi menuju ke Assembly Hall.{nl}{nl}
QUEST_20160218_003365	Mempersiapkan enchantment dalam waktu singkat sangatlah luar biasa.{nl}Jadi, enchantment dan para demon... Aku rasa aku paham sekarang.{nl}
QUEST_20160218_003366	Kuncinya adalah magic core.{nl}Untuk menjaga enchantment tetap kuat membutuhkan banyak kekuatan magic.{nl}
QUEST_20160218_003367	Stamina para demon mungkin sedikit, tapi magic core mereka perlu diperhitungkan.{nl}Ayo serang itu atau kalahkan semua demon!
QUEST_20160218_003368	Seperti dugaanku... enchantment sangat sulit untuk di tangani.
QUEST_20160218_003369	Aku melihat sebuah device saat perjalananku ke sini...{nl}Mungkin itu adalah core dari enchantment itu. Ayo kembali kesana.{nl}
QUEST_20160218_003370	Boneka tersebut bersinar seperti yang Yane katakan.{nl}Tolong bawakan itu kepadanya.
QUEST_20160218_003371	Ini tidak mau bergerak.{nl}Ini benar-benar stuck ditempat.
QUEST_20160218_003372	Aku rasa aku bisa menghancurkannya dengan bom.{nl}Dua menit ku rasa cukup. Tolong halangi demon yang mendekat.
QUEST_20160218_003373	Sukses!{nl}
QUEST_20160218_003374	Ledakannya akan membuat para demon datang berlarian ke sini{nl}Aku akan mencoba menghentikan mereka sebisa mungkin; Kamu urus Delmore Rephaim.
QUEST_20160218_003375	Kamu di sini...{nl}
QUEST_20160218_003376	Kamu pasti berpikir aku telah kalah sekarang karena kamu menemukanku.{nl}Namun aku tidak akan kalah dengan mudah.{nl}
QUEST_20160218_003377	Memang benar... Aku tidak bisa menjadi Dewa.{nl}Namun setidaknya aku bisa mengubah diriku menjadi sesuatu yang lebih mulia.{nl}
QUEST_20160218_003378	Semua hartaku, pengikutku, pengetahuanku, masih tidak cukup!{nl}Savior... kekuatan mereka akan membimbingku.{nl}
QUEST_20160218_003379	Terkejut?{nl}Kruvina adalah bagian pertama yang dibuat oleh seluruh pengikut setiaku.{nl}
QUEST_20160218_003380	Anggap itu suatu kehormatan untuk menjadi korban pertamanya.{nl}Jangan khawatir, aku akan pastikan untuk mengubah semua Savior lain menjadi Kruvina sehingga kamu tidak akan merasa kesepian!
QUEST_20160218_003381	Tentu saja monster merupakan ancaman, namun tidak sebanyak demon.{nl}Jika kita terus membasmi mereka, tempat ini akan segera terbebas dari para demon.
QUEST_20160218_003382	Kotak kosong.
QUEST_20160218_003383	Entrance Portal
QUEST_20160218_003384	Apakah kamu ingin memasuki ruangan?
QUEST_20160218_003385	Exit Portal
QUEST_20160218_003386	Apakah Kamu ingin keluar ruangan?
QUEST_20160218_003387	Mine Wagon
QUEST_20160218_003388	Apakah kamu ingin menyeberang ke sisi lain?
QUEST_20160218_003389	Unidentified Scarecrow
QUEST_20160218_003390	Hanya untuk tipuan
QUEST_20160218_003391	Mysterious Pillar
QUEST_20160218_003392	Di sini kamu dapat bermain game mencocokkan sepasang monster.{nl} Di dalam setiap barel terdapat monster dan kamu harus menemukan dan mengalahkan sepasang monster yang identik.{nl}Kamu memiliki 20 kesempatan. Apakah kamu ingin bermain?
QUEST_20160218_003393	Mysterious Bulletin Board
QUEST_20160218_003394	Hari Perang ke-311{nl}-{nl}berita mengejutkan{nl}Legendary marksman Lydia Schaffen telah berpihak kepada Royal Army{nl}Meskipun aku mencoba menenangkan pengikutku dengan menanyakan apakah dia lebih baik dari Commander Ruklys, namun saat kecemasan dan kegelisahan menyebar, tidak ada bisa kami lakukan.{nl}
QUEST_20160218_003395	Hari perang ke-331{nl}-{nl}Tidak peduli bagaimana perang ini akan berakhir, jika aku diberi kesempatan, aku ingin membunuh chancellor itu{nl}Jika kami menang, aku akan meminta Ruklys agar aku bisa mengeksekusinya, dan jika kami kalah, setidaknya aku akan menerobos barikadenya dan menusuk dadanya dengan pisau; walaupun aku harus mati saat itu.{nl}Eminent mulai mengambil alih Earth Tower dengan memimpin para demon.{nl} Sebagai manusia, beraninya ia bekerja sama dengan para demon...?
QUEST_20160218_003396	Jika kamu begitu merindukkan Goddess , maka izinkan aku untuk mengirimmu kembali kepada-Nya!
QUEST_20160218_003397	Story of Karolis Vol. 1
QUEST_20160218_003398	The springs of Karolis menyembunyikan kisah pahlawan yang tidak begitu dikenal{nl}-{nl} Karolis... Ia adalah murid favorit Tesla, Dievdirbys yang paling terkenal{nl}Diperintahkan oleh Goddess Ausrine, Tesla telah mengukir beberapa patung Spirit-Leading Owl.{nl}
QUEST_20160218_003399	Ia menempatkan masing-masing patung di tempat yang berbeda di dalam dark forest{nl} Itu untuk memandu para roh dalam perjalanan mereka menuju Goddess Ausrine{nl}Ia juga memiliki teman untuk melindungi owls - Sequoia{nl}
QUEST_20160218_003400	Story of Karolis Vol. 3
QUEST_20160218_003401	Karolis menatap gadis itu dan berkata,{nl}"Aku akan memberimu nyawaku, jika kamu memberiku kekuatan untuk melindungimu."{nl}Dengan ratapan sedih di wajahnya, gadis itu menggelengkan kepalanya, namun Karolis tidak menyerah.{nl}
QUEST_20160218_003402	Dan, dengan anggukan terpaksa dari kepala gadis itu, tubuh Karolis mulai bercahaya dan berubah menjadi pohon.{nl}Cahaya yang memancar darinya membuat semua demon di hutan menjadi abu dan mengusir semua energi jahat di dalamnya.{nl}
QUEST_20160218_003403	Gadis yang ditinggalkannya menangis, dan hutan yang di kelilingi kekuatan jahat kini penuh dengan energi suci.{nl}Jejak Karolis dapat ditemukan sampai hari ini.{nl}Letas holy tree adalah keturunan dari Karolis yang berubah menjadi pohon.{nl}
QUEST_20160218_003404	Hingga kini, Karolis melindungi hutan.{nl}Ia tidak pernah bisa menjadi Dievdirbys hebat seperti yang ia impikan, namun pengorbanannya hingga kini.{nl}
QUEST_20160218_003405	Demon Class Notes
QUEST_20160218_003406	Catatan kelas hari ini... Aku sangat mengantuk. aku ingin tidur...{nl}-{nl}Sejak awal sejarah manusia, para Goddess  menggunakan kekuatan suci kepada manusia{nl}Para demon merupakan kekuatan jahat yang menentang kekuatan itu{nl}Mereka menggunakan kekuatannya untuk menyakiti manusia dan melawan Goddess .{nl}
QUEST_20160218_003407	Kekuatan jahat itu sendiri tidak memiliki bentuk.{nl} Pisau, misalnya, dapat digunakan untuk menyakiti orang dan menyiapkan makanan.{nl} tetapi para demon mutlak jahat.{nl} Demon tidak bisa kekal, dan mereka tidak diterima oleh para Goddess .
QUEST_20160218_003408	The Mystery of Bracken Forest
QUEST_20160218_003409	Koru Jungle, Knidos Jungle dan Dadan Jungle semua dikenal karena tumbuh-tumbuhannya, terutama untuk tanaman pakis mereka.{nl}Embun malam terkumpul pada dedaunannya yang erat, menciptakan pemandangan yang fantastis ketika cahaya pertama menyinari mereka setiap paginya.{nl}
QUEST_20160218_003410	Melihat spora pakis yang mengapung di sekitar ketika musimnya tiba membuat orang bertanya-tanya bukankah pemandangan tersebut diberkati oleh para Goddess .
QUEST_20160218_003411	King Kadumel's Prison
QUEST_20160218_003412	Ashaq Underground Prison adalah penjara yang tersisa dari beberapa penjara lain di bagian selatan King Kadumel's kingdom.{nl}Meskipun berhubungan dengan Ruklys Civil War dan tirani King Kadumel, bangunan ini tetap dipertahankan selama bertahun-tahun untuk berbagai tujuan selain dari penjara.{nl}
QUEST_20160218_003413	Anehnya, meskipun struktur bangunan dan interior sudah dibenahi, suasananya masih sama seperti penjara asli.
QUEST_20160218_003414	Orsha, Kota Perdagangan
QUEST_20160218_003415	Orsha, kota perdagangan. Sangat besar, namun tetap mengalami kerusakan ketika Medzio Diena.{nl}Akar pohon besar yang menyebar di seluruh Orsha, menghancurkan dinding perkasanya dan menyebabkan gempa bumi berkekuatan besar.{nl}Bencana itu menewaskan Lord Orsha dan semua penerusnya, hanya putri satu-satunya, yang saat ini bertanggung jawab atas kota ini.
QUEST_20160218_003416	Zeraha's Goddess Statue
QUEST_20160218_003417	Tidak seperti Goddess  lainnya, Laima, Goddess  takdir dan prediksi masa depan, hanya ada di dalam catatan.{nl}Goddess Laima sangatlah jarang bertemu dengan manusia dan begitu juga blessingnya, membuatnya kurang dikenal meskipun salah satu dari Goddess  utama.{nl}
QUEST_20160218_003418	Meskipun demikian, patung Goddess Laima di Zeraha secara umum sangat dikagumi karena ukuran dan keindahannya yang luar biasa.{nl}Beberapa diantaranya percaya bahwa di zaman dahulu itu adalah sebuah kota yang tersembunyi, sementara yang lain berpendapat kota itu hanya dibangun dalam satu hari dengan kekuatan Goddess .{nl}
QUEST_20160218_003419	Apapun faktanya, sudah pasti yang membangun patung itu sudah tidak lagi berada di antara kita, beberapa keturunan mereka membangun desa di mana mereka bisa hidup.
QUEST_20160218_003420	Klasifikasi Tepat Para Demon dan Monster
QUEST_20160218_003421	Tidak ada cara yang tepat untuk mengklasifikasikan para demon dan monster berdasarkan penampilan luarnya.{nl}Mereka yang paham akan monster dapat membedakan mereka dari para monster, namun pengetahuan ini datang hanya dari pengalaman dan bukan dari teori-teori umum.{nl}
QUEST_20160218_003422	Ada satu perbedaan internal yang mendasar antara para demon dan monster biasa.{nl} Para demon memiliki daya pikir yang mampu menghasilkan sesuatu, di antaranya adalah kedengkian mereka terhadap manusia.
QUEST_20160218_003423	Sumpah Alchemist
QUEST_20160218_003424	Sumpah Alchemist berasal dari keluarga Winterspoon, yang dikenal sebagai pendiri dari alchemy.{nl}Prisip mereka diturunkan dan dari waktu ke waktu mereka menjadi kokoh sebagai aturan resmi alchemist.{nl}
QUEST_20160218_003425	{nl}Satu. Alchemist tidak boleh menentang kehendak para Goddess  melalui penelitian maupun hasil penelitiannya{nl}-{nl}Dua. Alchemist tidak boleh membahayakan kebaikan ataupun Goddess  melalui penelitian maupun hasil penelitiannya{nl}-{nl}Tiga. Alchemist tidak boleh menggunakan para Goddess  atau sesama manusia sebagai bahan percobaan.{nl}
QUEST_20160218_003426	Semua alchemist bersumpah untuk melindungi orang banyak dan mematuhi prinsip-prinsip ini.
QUEST_20160218_003427	Old Diary
QUEST_20160218_003428	Kerajaan kami damai. Tidak kekurangan apapun dan penduduknya sangat bahagia.{nl}Setiap tahun kami merayakan festival musim semi dan para Goddess  menjawab doa-doa kami.{nl}Dan kemudian, tiba-tiba doa-doa kami mulai tidak dijawab.{nl}Apa ini pertanda? Tiba-tiba, di tengah ibukota sebuah pohon besar tumbuh dari bawah tanah dan mulai menyebar.{nl}
QUEST_20160218_003429	Dengan sekejap, ibukota hancur diluar dugaan dan banyak orang yang harus kehilangan orang yang dicintainya.{nl}Setelah goncangan awal, orang mulai berlarian, mencoba melarikan diri dari sumber bencana.{nl}Namun itu belumlah selesai.{nl}
QUEST_20160218_003430	Pepohonan itu menyebar luas, bunga bermekaran dan mulai menelan mereka yang mencoba melarikan diri.{nl}Ibukota telah benar-benar runtuh. Bencana luar biasa ini terus menjalar ke kota-kota lainnya.{nl}
QUEST_20160218_003431	Empat tahun telah berlalu semenjak bencana itu.{nl}Trauma sangat sulit untuk disembuhkan. Para Goddess masih menghilang.{nl}Para monster terus meneror dunia dan kota-kota yang terkena bencana belum direkonstruksi kembali.{nl}Kami masih berjuang dengan sedikitnya supply, namun kami terus berusaha untuk kembali ke kehidupan normal kami sebisa mungkin.{nl}
QUEST_20160218_003432	Di Klaipeda, beberapa orang mulai memimpikan para Goddess .{nl}Jika saja itu merupakan tanda bahwa para Goddess  akan kembali.{nl}Jika... jika mereka kembali, Dapatkah kita bangkit dari keterpurukan ini?
QUEST_20160218_003433	Surat untuk seseorang yang tidak diketahui
QUEST_20160218_003434	...{nl}Spora ini tumbuh keluar dari badan induknya dan memberi makan energi untuk induknya setelah tertidur untuk sementara waktu. Spora yang sepenuhnya tumbuh dewasa bersiap untuk menyebarkan spora yang sama.{nl}Pengembang biakan berjalan dengan lancar.{nl}Tumbuhan ini dapat memproduksi dan menyebarkan spora dalam radius yang besar setiap saat.{nl}
QUEST_20160218_003435	Aku rasa aku dapat mengaturnya dengan pengendalian berkala.{nl}Tidak ada kesulitan dalam menjaga supply dari subject dan mendapatkannya secara berkala.{nl}Aku menyebarkannya di tempat para monster biasa menyerang kota-kota.{nl}Sesuai rencana, Lord Orsha telah mengeluarkan perintah migrasi, dan ia tidak akan menyadari jika beberapa kota menghilang.{nl}
QUEST_20160218_003436	Serahkan padaku.{nl}Kali ini, kita bisa mengorbankan bukan hanya Orsha, tetapi seluruh kerajaan sebagai makanan untuk Divine Tree.{nl}
QUEST_20160218_003437	Lord Delmore Rephaim.{nl}Mulailah persiapan untuk rencana berikutnya.{nl}Kelangsungan hidup yang untuk melindungi Reservoir Kruvina telah dikonfirmasi.{nl}Tanaman ini tumbuh dengan kecepatan yang stabil dan kita dapat segera menangkap target.{nl}
QUEST_20160218_003438	Para demon belum tertangkap juga.{nl}Jika semuanya berjalan sesuai rencana, mungkin itu  dapat mengambil kekuatannya sebagai unsur baru.
QUEST_20160218_003439	Officer's Diary Volume I
QUEST_20160218_003440	Pemimpin mengeluarkan perintah konstruksi baru sebagai restorasi setelah Medzio Diena terjadi.{nl}Ia mengatakan bahwa itu untuk membuat barrier penangkal monster.{nl} Seperti yang diperintahkan, saya membagi divisi baru para mage dan tentara yang dikerahkan.{nl}
QUEST_20160218_003441	Pengerjaan restorasi dan pembuatan barrier berjalan lancar.{nl}Namun ada sedikit masalah dengan ketertiban umum, tetapi dapat diselesaikan dengan cepat.{nl}
QUEST_20160218_003442	Lord Orsha mendapatkan Rekomendasi Migrasi.{nl}Aku yakin bahwa pemimpin kami tidak akan menanggapi omong kosong semacam itu.{nl}Mengabaikan kampung halamanmu adalah suatu hal yang konyol.{nl}Aku juga ragu bila Orsha memiliki kapasitas untuk menerima semua pengungsi baru.{nl}
QUEST_20160218_003443	Pemimpin mempercepat deadline pembuatan barrier, ia mengatakan melindungi orang-orang dari para monster lebih penting daripada proyek restorasi.{nl}Tenaga Kerja dari proyek restorasi dipindahtugaskan untuk pembangunan barrier.
QUEST_20160218_003444	Officer's Diary Part II
QUEST_20160218_003445	Barrier telah selesai berkat bantuan dari para mage.{nl}Kami akan aman dari segala ancaman monster setelah pemimpin kami menyelesaikan tahap akhir pada barrier.{nl}aku mendengar rumor bahwa pemimpin kami adalah seorang alchemist yang cukup diakui bahkan oleh keluarga Witherspoon. Mereka pasti tidak melebih-lebihkannya.{nl}
QUEST_20160218_003446	Aku menerima perintah untuk meningkatkan penjagaan ke maksimum pada pos jaga yang terletak di luar dinding kastil.{nl}Mereka mengatakan bahwa para demon berdatangan.{nl}
QUEST_20160218_003447	Pemimpin kami memerintahkan bahwa semua tentara termasuk yang ditempatkan di pos-pos penjagaan menemani semua warga masuk ke dalam benteng menuju device.{nl}Mungkin akhirnya kami dapat melihat kekuatan penuh dari barrier.{nl}AKu membagi penduduk menjadi beberapa bagian dan mendistribusikan setiap pasukan.
QUEST_20160218_003448	Monster Absenta Reservoir
QUEST_20160218_003449	Takjub ketika melihat monster yang luar biasa yang disebut Hydra di absenta Reservoir.{nl}Monster itu memiliki enam kepala ular, merangkak dengan keempat kaki dan juga dapat berenang dengan bebas karena memiliki sirip besar di ekornya.{nl}
QUEST_20160218_003450	Bersembunyi di kedalaman Reservoir dan menelan mangsanya dengan satu lahap setelah membunuh dengan mulut besar dan taringnya.{nl}Meskipun hanya sebesar pria dewasa, ia sangat lincah dan memiliki kekuatan pemulihan yang luar biasa.{nl}Untungnya, ia tidak memusuhi manusia sehingga memungkinkan warga terdekat menyebutnya makhluk mythical dan hindari ia.
QUEST_20160218_003451	Matahari itu begitu cerah sehingga aku memutuskan untuk mengeringkan buku-buku di bawah sinar matahari.{nl}Aku takut buku-buku itu akan berjamur jika aku meninggalkannya di dalam terlalu lama.{nl}
QUEST_20160218_003452	Jika kamu ingin membaca sesuatu, silakan datang kapan pun untuk melihat-lihat.{nlSangat senang melihat buku itu di baca terlepas dari siapa yang membacanya.
QUEST_20160218_003453	Sepertinya ada beberapa buku yang tergeletak di peti kayu.{nl}Apakah kamu ingin membacanya?
QUEST_20160218_003454	Miscellaneous
QUEST_20160218_003455	Sepertinya ada beberapa buku yang tercampur pada beberapa bagian dan akhirnya.{nl}Apakah kamu ingin membacanya?
QUEST_20160218_003456	Hirevan terkena sekali.{nl}Lalu ia menyerangnya berulang kali menggunakan serangan yang sama kepadanya{nl}Meskipun ia tahu kalau itu sia-sia..{nl}Vladislovas mulai bosan bermain-main dengan Hirevan muda.{nl}Kali ini ia akan menusuk tenggorokan Hirevan dengan bagian pedang yang tajam dan bukan gagangnya.
QUEST_20160218_003457	Hirevan tiba-tiba berbalik,{nl}menarik pistol keluar dari sarungnya dan menarik pelatuknya.{nl}Peluru itu bersarang di tengah dahi Vladislovas,{nl}membuat tubuh besarnya perlahan-lahan jatuh kearah Hirevan.{nl}
QUEST_20160218_003458	Thud!
QUEST_20160218_003459	{nl}Perahu kecil itu tidak mampu menahan berat dari Vladislova dan Hirevan{nl}dan perebutan title selesai.{nl}Ombak terus mengguncang perahu itu,{nl}dan burung-burung camar yang menahan napas selama pertarungan sekarang mulai bernyanyi lagi.{nl}
QUEST_20160218_003460	Tidak ada yang dibiarkan hidup di atas laut.{nl}Begitulah title Great Pirate tersapu bersih oleh gelombang laut.
QUEST_20160218_003461	Kau sudah sadar! Apa yang kamu rasakan?
QUEST_20160218_003462	Kabar buruk!{nl}Akhir dunia mulai mendekat!{nl}
QUEST_20160218_003463	Bahkan Savior yang Laima tunggu tidak ada lagi…
QUEST_20160218_003464	Dunia ini bertahan untuk para Goddess .{nl}
QUEST_20160218_003465	Namun pada keadaan ini...{nl}Haha..{nl}
QUEST_20160218_003466	Itu tidak akan mempengaruhi apapun jika kamu memberitahu Laima atau tidak.{nl}Bukankah begitu?{nl}
QUEST_20160218_003467	Kemana sayapmu menghilang?{nl}Sebuah cangkang kosong dari seorang Goddess tanpa kekuatan atau kemuliaan…
QUEST_20160218_003468	Namun pada keadaan ini...{nl}Haha..
QUEST_20160218_003469	Itu tidak akan mempengaruhi apapun jika kamu memberitahu Laima atau tidak.{nl}Bukankah begitu?
QUEST_20160218_003470	Apa yang terjadi dengan sayapmu?{nl}Oh, ya... aku yang membuatmu seperti ini, bukankah begitu...?
QUEST_20160218_003471	Tidak lebih dari tampilan Goddess  tanpa ada kekuatan ataupun kemuliaan…
QUEST_20160218_003472	Meja tulis Mage
QUEST_20160218_003473	Ada dua surat terjepit di dalam buku ini.{nl}Apakah kamu ingin membacanya?
QUEST_20160218_003474	Sangat melegakan mengetahui bahwa barrier telah dinonaktifkan!{nl}Sekarang kita bisa berdoa kepada Zemyna.
QUEST_20160218_003475	Goddess Zemyna...
QUEST_20160218_003476	Saya mohon padamu untuk mendengarkan doaku…
QUEST_20160218_003477	Full Soul Stone
QUEST_20160218_003478	Kekuatan yang melindungi benda suci menghilang dan ingatan yang tersegel didalam Soul Stone meluncur jauh.
QUEST_20160218_003479	Sebuah kekuatan yang tidak diketahui tampaknya menghalangi jalan.
QUEST_20160218_003480	Pendulum
QUEST_20160218_003481	Pendulum bergerak perlahan dengan pola melingkar.
QUEST_20160218_003482	Tampaknya ada perubahan secara halus pada kecepatan gerak pendulum.
QUEST_20160218_003483	Pendulum tampaknya mulai bereaksi terhadap sesuatu.
QUEST_20160218_003484	Pendulum tampaknya telah mendeteksi sesuatu.
QUEST_20160218_003485	Pendulum berputar dengan cepat.
QUEST_20160218_003486	Sepertinya ada sesuatu didekat sini.
QUEST_20160218_003487	Spell doll penjaga kuburan menyerang benda suci dari sekte.
QUEST_20160218_003488	Gimmick Scarecrow
QUEST_20160218_003489	Gimmick Statue
QUEST_20160218_003490	Semuanya menjadi jelas sekarang.{nl}Aku ucapkan terima kasih sekali lagi.
QUEST_20160218_003491	Kampung halamanku, Delmore Castle... adalah tempat yang benar-benar indah.{nl}Tetanggaku begitu baik dan pemimpinnya juga murah hati.{nl}
QUEST_20160218_003492	Aku menerima banyak penghargaan dan mengajukan diri untuk liburan panjang{nl}Karena rajin sebagai liason officer.{nl}Aku sangat bersemangat memikirkan untuk menggelar pesta bersama tetanggaku.{nl}
QUEST_20160218_003493	Namun apa yang aku lihat ketika sampai di rumah... adalah sebuah kota kosong dan tidak ada siapa pun yang terlihat.{nl}
QUEST_20160218_003494	Yah, sebenarnya... Itu tidak benar-benar kosong.{nl}Para Demon tiba-tiba muncul dari segala arah.{nl}
QUEST_20160218_003495	Aku berlari ketakutan.{nl}Beberapa pemandangan yang terlihat oleh mataku di antara semuanya adalah kekacauan itu.{nl}
QUEST_20160218_003496	Butiran cahaya bergerak ke suatu tempat, batu permata merah…{nl}Aku masih tidak bisa melupakannya. Batu permata merah kehitaman yang bersinar dan{nl}berkilauan dengan cara yang memuakkan.{nl}
QUEST_20160218_003497	Pada awalnya, aku pikir itu hanyalah serangan demon yang sederhana.{nl}Akan ada yang selamat dan bersembunyi di suatu tempat...{nl}Orang tuaku akan berhasil keluar dengan selamat...{nl}
QUEST_20160218_003498	Maksudku, bukan berarti serangan demon merupakan hal yang aneh...{nl}Namun itu bukan hanya sekedar serangan biasa. Semua butiran cahaya itu...{nl}Aku tahu bahwa itu adalah jiwa-jiwa dari warga kota...{nl}
QUEST_20160218_003499	Kamu menyesali ini, bukan?{nl}Aku bisa merasakannya. Karena kita adalah saudara...{nl}
QUEST_20160218_003500	Apakah kamu sedih?{nl}Apakah kamu... membenciku?
QUEST_20160218_003501	Semua rasa sakit dan kesedihan... putus asa...{nl}
QUEST_20160218_003502	Semuanya akan mereda dalam dirinya...
QUEST_20160218_003503	Tolong selamatkan aku…
QUEST_20160218_003504	Tolong... ramalannya...{nl}Hentikan Giltine…
QUEST_20160218_003505	Peti Kosong
QUEST_20160218_003506	Disana muncul pressure plate yang tampaknya merupakan semacam saklar di tengah-tengah magic cirlce.
QUEST_20160218_003507	Bagian potongan merah mulai bersinar setelah kamu mendekati magic cirlce.
QUEST_20160218_003508	Bagian potongan merah bereaksi terhadap kristal di tengah device.
QUEST_20160218_003509	Kamu telah memulihkan beberapa HP.
QUEST_20160218_003510	Kamu telah memulihkan beberapa SP.
QUEST_20160218_003511	Integration Device
QUEST_20160218_003512	Itu tampaknya tidak aktif.
QUEST_20160218_003513	Kamu melihat device yang mencurigakan.
QUEST_20160218_003514	Tujuan dari magic cirlce ini tidak diketahui.
QUEST_20160218_003515	Bagian potongan biru bereaksi saat kamu mendekati altar.
QUEST_20160218_003516	Potongan berubah menjadi berbentuk kunci disertai dengan cahaya biru.
QUEST_20160218_003517	Tidak terjadi apapun.
QUEST_20160218_003518	Ini adalah altar yang cukup tua.
QUEST_20160218_003519	Sicarius Key memancarkan cahaya.
