QUEST_LV_0200_20150317_000001	필리파스 직속 부대원
QUEST_LV_0200_20150714_007135	수도원도 되찾았고 헌터들이 원하던 것도 이루었으니.. {nl}이 모든게 여신께서 이끄심이 아닌가 생각됩니다.
QUEST_LV_0200_20150714_007136	당신의 도움 없이는 이렇게 일이 잘 풀리지 않았겠지요.{nl}수 많은 계시자의 이야기를 들었습니다만, 제가 본 것은 당신 한 사람입니다.
QUEST_LV_0200_20150714_007137	수도사 모하임
QUEST_LV_0200_20150714_007138	수도원을 되찾은 건 정말 잘 된 일인데..{nl}난장판이군요.
QUEST_LV_0200_20150714_007139	몬스터가 먼저냐, 정리가 먼저냐..{nl}그것이 문제로군요.
QUEST_LV_0200_20150714_007140	지금이 바로 에보니폰을 잡을 절호의 기회요.{nl}수도원 주변은 전부 포위하고 있으니 아무리 녀석이라도 빠져나갈 수 없겠지.
QUEST_LV_0200_20150714_007141	에보니폰을 보았소?{nl}일단 이쪽은 없소. 좀 더 내려가는 게 좋겠군.
QUEST_LV_0200_20150714_007142	우리가 에보니폰을 잡을 수 있길 빌어주시오.{nl}나도 자네의 무운을 빌리다.
QUEST_LV_0200_20150714_007143	계시자께서는 걱정 말고 가시오. 이 친구들은 잠시 기절한 것 뿐이니까.{nl}다음에 또 보게 된다면 에보니폰 말고 좋은 일로 만나게 되길 바라오.
QUEST_LV_0200_20150714_007144	얼마 전 많은 동료들을 석화서리에 잃었습니다.{nl}그런 일이 있었는데도 샌님 크로노맨서 한 명 지원하자고 이런 곳에 배치되다니요. {nl}
QUEST_LV_0200_20150714_007145	게다가 사나운 몬스터들은 언제 돌변해서 여길 공격할지 모를 일입니다.{nl}어떻게 하시든 상관 없으니 그 몬스터들만 없었으면 좋겠군요.
QUEST_LV_0200_20150714_007146	동료들을 잃은 슬픔이 아직 가시지 않았습니다.{nl}그런 와중에 저런 막무가내 여자를 돌봐줘야 한다는 건 참 불행한 일입니다.
QUEST_LV_0200_20150714_007147	고맙습니다. 당분간 안전하게 지낼 수 있겠군요.
QUEST_LV_0200_20150714_007148	석화서리에 당한 제 동료들.. 아직도 비바람을 맞은 채 방치되어 있지요.{nl}게다가 지원도 부족하니 어떡합니까. 기다릴 수 밖에요.{nl}
QUEST_LV_0200_20150714_007149	그런데 이 저주받을 몬스터들! 제 동료들을 공격하고 있습니다.{nl}부탁합니다. 불쌍한 제 동료들의 곁을 잠시만이라도 지켜주실 수 있겠습니까.
QUEST_LV_0200_20150714_007150	그 중엔 제 고향 친구인 갈렌도 있지요.{nl}부디 지켜주십시오..
QUEST_LV_0200_20150714_007151	정말 고맙습니다.{nl}어서 지원이 와서 저런 모습이나마 가족들에게 돌아갈 수 있길 바랍니다.
QUEST_LV_0200_20150714_007152	도굴꾼들이 설쳐대도 오냐오냐 해줬더니만 기어코 뒤통수를 치는군요.{nl}디코 도굴단 녀석들에게 우리 보급품을 도둑맞았거든요.{nl}
QUEST_LV_0200_20150714_007153	드라사 예배소 폐허로 가져간 게 분명한데 여길 비워둘 순 없으니 다 굶어죽을 판입니다.{nl}미안하지만 당신이 도둑맞은 보급품을 되찾아 주시지 않겠습니까?
QUEST_LV_0200_20150714_007154	수 십년 전엔 도굴꾼들이 경비 초소를 습격하거나 몰래 보급품을 빼돌린 적도 있었다는 군요.{nl}그 후 제대로 손봐줬다고 들었는데 그 때 일을 잊은 모양이죠?
QUEST_LV_0200_20150714_007155	앞에서 우릴 꾀어내고 뒤에서 순식간에 물건을 털어가 버렸죠.{nl}뭔가 대책을 세워야 할 텐데 위에서는 칼리스 기사단이랑 으르렁대고 있으니 원.{nl}
QUEST_LV_0200_20150714_007156	골치 아픈 일은 한 가지 더 있습니다.{nl}칼리스 기사단인 사비나 님 말인데요.{nl}
QUEST_LV_0200_20150714_007157	아 글쎄, 훼손된 유물을 찾기 전 까진 돌아가지 않겠다고 생떼를 쓰고 있단 말입니다.{nl}우린 여길 벗어날 순 없는데 도대체 어쩌라는 건지, 답답합니다.
QUEST_LV_0200_20150714_007158	수 백년에 멸망해 버린 도시는 지켜야 할 사람도 재산도 아무것도 없지요.{nl}오히려 유적지를 지키는 느낌입니다. 남사스럽습니다만, 마침 도굴꾼도 있네요.
QUEST_LV_0200_20150714_007159	이제 사비나님만 얌전히 계셔 주셨으면 좋겠는데요.{nl}저희도 이런 곳에서 석화서리때문에 저 친구들처럼 되긴 싫단 말입니다.
QUEST_LV_0200_20150714_007160	왕국군을 따돌린다는 게 결코 쉬운 일이 아니군요.{nl}전 이 곳의 진실을 알고 싶어요. 왕국군이 아주 싫어하는 진실 말입니다.{nl}
QUEST_LV_0200_20150714_007161	당신의 도움이 필요해요. 당신은 어디에도 속해 있는 것 같지 않거든요.{nl}이 주변에 남아있는 기록물의 탁본을 떠다 주시겠어요?
QUEST_LV_0200_20150714_007162	음. 대지의 요새가 몰락할 당시의 내용이네요.{nl}루클리스의 본거지였던 대지의 요새에서 좀 더 자세한 사정을 알 수도 있겠어요.
QUEST_LV_0200_20150714_007163	하지만 대지의 요새 만큼은 왕국군이 출입을 제한하기 때문에 들어갈 수 없습니다.{nl}아무리 칼리스 기사단이더라도 말이지요.{nl}
QUEST_LV_0200_20150714_007164	어쩌면.. 대지의 요새에서 후퇴할 때 사용되던 포탈의 시간을 되돌릴 수 있을지도 몰라요.{nl}여기서부턴 위험한 일이기 때문에 그만 두시려거든 지금 말씀해 주세요.
QUEST_LV_0200_20150714_007165	지금 우리가 계획하는 일은 왕국군의 교수대에 오를만한 일입니다.{nl}꼭 비밀을 지켜주세요.
QUEST_LV_0200_20150714_007166	프리미어 에미넌트 재상의 시절에야 정예 부대에, 엄청난 보급에, 말도 아니었다고 하죠.{nl}그렇다고 해도 재상이 죽은지 600년이나 지나지 않았습니까.{nl}
QUEST_LV_0200_20150714_007167	아무리 그렇게 엄청난 반란이었다고 해도 신수의 날까지 겪은 뒤에야 지원이 원활할 리가 없죠.{nl}오히려 아직도 여기에 저희가 남아 있어야 되는 건지 의문입니다. {nl}무려 600년이라니까요?
QUEST_LV_0200_20150714_007168	디코 도굴단은 원래 악명높은 도적단이라고 들었습니다.{nl}신수의 날 때 세력이 갈렸다나.. 어쨌든 하는 짓은 흉폭한 산적 떼나 다름 없습니다.{nl}
QUEST_LV_0200_20150714_007169	그 외에도 아만다 도굴단이었나 하는 조용한 녀석들이 있는데요.{nl}진짜로 있는 지 없는 지도 사실 궁금합니다. 적어도 전 본 적이 없거든요.{nl}
QUEST_LV_0200_20150714_007170	어쨌든 병력 지원만 더 온다면 둘 다 때려잡아야 할 범죄자들인건 틀림없죠.{nl}특히 디코 도굴단 녀석들은요.
QUEST_LV_0200_20150714_007171	저희들은 모두 칼리스 기사단의 연구원들을 호위를 가장한 감시 임무를 맡고 있습니다.{nl}사비나님도 그 대상 중 한 명이지요.{nl}
QUEST_LV_0200_20150714_007172	도시에 남은 유적을 이용해서 자꾸 나타났다 사라지셨다 하는 통에 쫓아가기가 영 힘이 듭니다.{nl}그런데 크로노맨서가 원래 포탈 같은 걸 연구하는 사람들이였던가요?{nl}
QUEST_LV_0200_20150714_007173	정말 고맙습니다만, 쉽진 않을 겁니다. 그랬으면 벌써 저희들이 찾았겠지요.{nl}무슨 이유인진 몰라도 몬스터가 유물을 먹어치워버렸거든요.
QUEST_LV_0200_20150714_007174	여기는 반역자 루클리스의 저주받은 도시입니다.{nl}반란 이후로 생겨난 석화서리의 저주가 아직도 남아있지요.{nl}
QUEST_LV_0200_20150714_007175	탐탁치 않지만 칼리스 기사단의 요청이 있기에 당신을 통과시켜 드리겠습니다.{nl}하지만 저희의 시선에서 벗어나는 일은 절대로 삼가시길 바랍니다.
QUEST_LV_0200_20150714_007176	당신의 과거 행적이 얼마나 빛나는진 모르겠습니다만.{nl}여기선 왕국군의 통제를 따라주셔야 합니다.
QUEST_LV_0200_20150714_007177	베나스님께선 대지의 요새로 통하는 길을 확보하라는 명령을 내리셨습니다.{nl}아, 그 분은 현재 이 지역 왕국군의 통솔권자이십니다.{nl}
QUEST_LV_0200_20150714_007178	당신이 공방 폐허의 몬스터를 맡아 주신다면 여신과 왕국에 헌신하는 길이 될 것입니다.{nl}물론 적당한 보상도 약속 드리지요.{nl}
QUEST_LV_0200_20150714_007179	저희에게 좋은 모습을 보여서 나쁘실 건 없을 겁니다.{nl}어쨌든 여긴 왕국군의 관할이니 말입니다.
QUEST_LV_0200_20150714_007180	도굴꾼 짓이 아닙니다. 주인 없는 물건들이 제 가치를 찾을 수 있는 곳으로 옮기는 거죠.{nl}여기 이렇게 굳어서 풍화되어 사라져가는 것 보단 훨씬 나을 거에요.
QUEST_LV_0200_20150714_007181	나쁘진 않군요.{nl}소문이 꼭 부풀려진 이야기만은 아닌가 봅니다.
QUEST_LV_0200_20150714_007182	불규칙하게 불어오는 석화서리 때문에 석화 탐지기를 운용중입니다만.{nl}최근의 전투로 그걸 확인할만한 병사가 전무한 실정입니다.{nl}
QUEST_LV_0200_20150714_007183	그러니 당신이 그 일을 대신해 주신다면.{nl}그것이 바로 왕국에 충성하고 그 의지를 잇는 일 아니겠습니까.
QUEST_LV_0200_20150714_007184	탐지기를 점검하는 병사들을 노리는 몬스터들도 간혹 보고되고 있습니다.{nl}부디 조심하시길 바랍니다.
QUEST_LV_0200_20150714_007185	구 시장과 대광장에서 석화서리가 불어닥칠 예정이군요.{nl}당신은 꽤 유명한 계시자라고 들었습니다. 안 그렇습니까?{nl}
QUEST_LV_0200_20150714_007186	언젠가부터 석화 탐지기 근처에서 스파나스혼에게 피습당하는 병사가 늘고 있습니다.{nl}진정 그 소문대로의 당신이라면 충분히 그 몬스터를 상대할 수도 있겠지요.{nl}
QUEST_LV_0200_20150714_007187	저 병사들은 석화서리와 스파나스혼에게서 살아남은 병사들입니다.{nl}공포에 눈이 멀어서 될 수 있으면 스파나스혼과 싸우게 할 수 없습니다. 승산도 없고요.
QUEST_LV_0200_20150714_007188	석화서리는 아주 잠시 늦춘 것 뿐입니다.{nl}우리가 무슨 짓을 하던 루클리스가 불러온 천벌을 막아낼 방법은 없습니다.
QUEST_LV_0200_20150714_007189	이제 남은 건 스파나스혼.. 최대한 빨리 해치우고 빠져나오시길 바랍니다.{nl}아무리 위대한 계시자라 한들 석화서리를 이겨낼 순 없을 겁니다.
QUEST_LV_0200_20150714_007190	후퇴도 전술입니다만, 언제까지고 그럴 순 없는 일입니다.{nl}당신같은 훌륭하고 충성심 높은 지원자가 있을 때 이 일을 끝내야합니다.
QUEST_LV_0200_20150714_007191	스파나스혼을 처치했다니 수 년간 들은 이야기 중 가장 기쁜 소식입니다.{nl}이제 병사들을 좀 쉬게 한 뒤, 이 사실을 알려야겠습니다.
QUEST_LV_0200_20150714_007192	거 아주 반가운 얼굴이군. 누군진 모르겠다만 말이다.{nl}여기선 조금이라도 연줄을 만들어 놓는 게 좋거든. 서로 돕고 사는거지.{nl}
QUEST_LV_0200_20150714_007193	가령 우리 작업장의 몬스터 청소를 돕는다던가 말야.{nl}집회장 터라고. 어때. 도와줄 수 있겠어?
QUEST_LV_0200_20150714_007194	무슨 작업을 하냐고 물어도 그건 사업 비밀이라서 말해줄 수 없겠는데.{nl}어차피 주인 없는 물건인데 필요한 사람이 가져가야지.
QUEST_LV_0200_20150714_007195	이렇게 빨리? 혹시 놓친 몬스터들은 없나?{nl}아아. 겁쟁이 왕국군들은 이 근처엔 얼씬도 못하니까 신경쓰지 말고.
QUEST_LV_0200_20150714_007196	어떻게 내가 여기에 있느냐고? {nl}그래서 연줄이 중요하다는거야. 근무실적 올린답시고 몬스터의 발톱을 사가는 왕국군이 있거든.{nl}
QUEST_LV_0200_20150714_007197	그런데 사실 난 몬스터들하고 뒹굴고 싶지 않아. 특히 여기선 더더욱 말이지.{nl}네가 그 발톱을 가져다 준다면 우린 정말 좋은 친구가 될 거다.
QUEST_LV_0200_20150714_007198	뭔가 네가 오해하는 게 있는 것 같은데.{nl}우린 삽을 든 고고학자지 강도나 약탈꾼이 아니라고.
QUEST_LV_0200_20150714_007199	정말 고맙군, 친구. {nl}이거 꽤 짭짤하겠어.
QUEST_LV_0200_20150714_007200	귀띔하나 해 주지. 여기서 뭔가 건지고 싶다는 생각은 그만 두는게 좋을 거다.{nl}우리 말고도 디코 도굴단이라는 무지막지한 녀석들이 있거든.{nl}
QUEST_LV_0200_20150714_007201	난 왕국군보다도 그 녀석들이 더 꼴보기 싫거든.{nl}그 녀석들이 외부에서 들여온 장물들이 외벽 진입로에 잔뜩 쌓여 있는데.. {nl}그게 전부 사라지면 어떨까?
QUEST_LV_0200_20150714_007202	슬쩍 보고 온 바로는 그 녀석들 아직 돌아오진 않은 거 같아.{nl}빨리 움직이라고.
QUEST_LV_0200_20150714_007203	디코 도굴단 녀석들 생각보다 장사를 크게 할 생각인 것 같아.{nl}양이 정말 어마어마하구먼. 혹시 녀석들도 왕국군과 내통하는 게 아닐까?
QUEST_LV_0200_20150714_007204	이 도시의 처참한 광경은 600년 전에 간악한 루클리스와 시민들이 벌인 반란의 결과입니다.{nl}반란이 제압되고 난 뒤부터 불기 시작한 석화서리는 모든 것을 돌로 만들어 버리지요.{nl}
QUEST_LV_0200_20150714_007205	위대한 재상 프리미어 에미넌트가 아니었다면 아마 왕국은 멸망하고 말았을 겁니다.{nl}지금 이 시대에 계셨더라면.. 이 힘든 시기도 금새 끝났겠지요.
QUEST_LV_0200_20150714_007206	모든 것을 돌로 만들어버리는 무서운 바람입니다.{nl}신수의 날 이후로 발생 주기마저 불규칙하게 변해버렸습니다.{nl}
QUEST_LV_0200_20150714_007207	한 번 석화서리의 저주를 맞이한 것은 어떤 방법으로도 되돌릴 수 없습니다.{nl}반역자 루클리스의 죄란 그 만큼 중하다는 게 아니겠습니까.{nl}
QUEST_LV_0200_20150714_007208	칼리스 기사단에서 어떻게든 방법을 찾고자 하던데..{nl}600년 동안이나 이어 내려온 저주입니다. 찾을 수 있을 리가요.
QUEST_LV_0200_20150714_007209	스파나스혼은 석화서리 바람을 타고 나타납니다.{nl}지친 병사들이 휘말리지 않도록 전투를 피할 수 있도록 조치하는 것이 우선입니다.{nl}
QUEST_LV_0200_20150714_007210	대광장에서 미약한 석화서리를 이 흡수 스크롤로 제거하면 시기를 조금 늦출 수 있습니다.{nl}다음 석화서리에서 스파나스혼을 구 시장으로 유인할 수 있을 겁니다.
QUEST_LV_0200_20150714_007211	여기서 만나기로 한 형님이 오실 생각을 안하네.{nl}아무래도 무슨 일이 생긴 것 같아.{nl}
QUEST_LV_0200_20150714_007212	형님은 대광장 근처의 경비병들 사이에 숨어 계셔.{nl}이 암호가 새겨진 물병을 경비병들에게 전하면 형님이 접촉해올 거야.
QUEST_LV_0200_20150714_007213	형님은 경비병들 사이에 숨어 계셔.{nl}이 암호가 새겨진 물병을 경비병들에게 전하면 형님이 접촉해올 거야.
QUEST_LV_0200_20150714_007214	쉿. 목소리를 낮추십시오. 발각되면 나나 당신이나 끝장이니까.{nl}설마 후베르타스 이 멍청이가 당신을 여기로 보낸 겁니까?{nl}
QUEST_LV_0200_20150714_007215	여기 일이 끝나면 가겠다고 몇 번이나 말했는데.{nl}아주 큰 문제가 생겼거든요.
QUEST_LV_0200_20150714_007216	우리 식구들이 도시 밖에서 들어오지 못하고 있어요.{nl}이 병사들 몰래 식구들을 도시 안으로 들인다는 건 거의 불가능하고요.{nl}
QUEST_LV_0200_20150714_007217	그래서 대광장에 큰 소란을 일으킬 겁니다. 살티스터를 불러들이는 거죠.{nl}먼저 석화된 정원의 몬스터에게서 향기나는 돌가루를 모아야 합니다. 할 수 있겠습니까?
QUEST_LV_0200_20150714_007218	왕국군 보다 한 발 먼저 우리 식구들이 이 곳을 통과했어야 했어요.{nl}하지만 얼마 전 석화서리가 불어닥친 후 어째서인지 레티아가 재촉하는 탓에 때를 놓쳤지요.
QUEST_LV_0200_20150714_007219	이걸 지금이라도 쏟아 버리면 살티스터가 거구를 들이미는 걸 볼 수 있을 겁니다.{nl}하지만 제 계획은 그게 아니지요.
QUEST_LV_0200_20150714_007220	이 곳을 싸움터로 만들다간 식구들이 지나갈 수 없어요.{nl}음.. 그래요. 대광장에 나타나는 램베어들에게 이 가루를 바르는 거예요.{nl}
QUEST_LV_0200_20150714_007221	그럼 살티스터가 램베어들에게 달려들겠지요?{nl}분명 레티아가 가만히 보고 있지만은 않을 겁니다.
QUEST_LV_0200_20150714_007222	우리 식구들은 출신이 다양합니다.{nl}저도 한땐 전술가를 꿈꾸던 하급 장교였죠.{nl}
QUEST_LV_0200_20150714_007223	제가 근무하던 지역이 신수의 날에 지도에서 사라지기 전 까진 말이죠.
QUEST_LV_0200_20150714_007224	남김없이 사용하셨습니까?{nl}그럼 전우들에겐 미안하지만 바빠질 시간이군요!
QUEST_LV_0200_20150714_007225	레티아에게 살티스터가 이곳으로 오고 있다고 전해 주세요.{nl}그녀는 안 믿겠지만 벌써부터 살티스터가 뛰어오는 게 느껴지는군요. 서두르세요!
QUEST_LV_0200_20150714_007226	그저 레티아에게 살티스터가 오고 있다고만 전해주시면 됩니다.{nl}장담하건데, 우리를 의심할 일은 전혀 없을거예요.
QUEST_LV_0200_20150714_007227	식구들은 무사히 통과했어요.{nl}당신은 아직 왕국군이 신뢰하고 있으니 나중에라도 들키진 않을 거예요.{nl}
QUEST_LV_0200_20150714_007228	이 도시.. 단언할 순 없지만 흥미로운 진실들을 발견하게 될 겁니다.{nl}물론 우리 식구들과도 계속 만나게 될 거고요.
QUEST_LV_0200_20150714_007229	저도 이런 곳에 있기 정말 싫습니다.{nl}칼리스 기사단 활동을 지원하라는 명령만 아니었어도..{nl}
QUEST_LV_0200_20150714_007230	코스타스님께서 며칠 동안 자리를 비우셔서 여길 벗어날 수도 없고요.{nl}그렇다고 해서 몬스터들이 날뛰는걸 가만히 보고만 있는 것도 힘들군요.
QUEST_LV_0200_20150714_007231	코스타스님이 오실 때까지 하염없이 기다려야 합니다. {nl}안 그래도 할일이 많은데 빨리 좀 돌아오시면 좋겠어요.
QUEST_LV_0200_20150714_007232	상관들은 칼리스 기사단을 좋게 보고 있진 않습니다.{nl}저 같은 말단이야 칼리스 쪽에서 보급품도 나눠 주고 살갑게 대해 주니 싫어할 이유는 없지만요.
QUEST_LV_0200_20150714_007233	실트의 증표를 증폭시킬 수만 있다면 이 지역을 안전하게 드나들 수 있을 걸세.
QUEST_LV_0200_20150714_007234	코스타스님은 아직도 감감 무소식이군요.{nl}아.. 뭐라고 보고를 올려야 할지.
QUEST_LV_0200_20150714_007235	왕국군과 칼리스 기사단, 우리 도굴꾼들이 절묘한 균형을 이룬다고 생각해.{nl}그러니까 그나마 이렇게 돌아다닐 수 있는 거지, 그 전엔 잠시도 있을 곳이 못 됐어.
QUEST_LV_0200_20150714_007236	이 도시는 600년이나 버려졌어도 석화서리 때문에 고스란히 남아 있을 수 있었어요.{nl}전 경호 임무 말고도 여기 남아있는 반란군들의 기록을 처리해야 하는데요.{nl}
QUEST_LV_0200_20150714_007237	그런데 아직도 코스타스님이 돌아오시질 않으니 말입니다.{nl}교역지구에 남아 있는 기록들을 대신 처리해 주십사.. 하는데요.
QUEST_LV_0200_20150714_007238	기록들의 내용은 마음에 담아 두지 마십시오.{nl}모두 헛소리니까요.
QUEST_LV_0200_20150714_007239	호위, 뒷처리, 경비까지 할 일은 많은데 무슨 수로 혼자 다 처리하라는건지 모르곘습니다.{nl}그나마 당신이 도와주셔서 다행입니다.
QUEST_LV_0200_20150714_007240	좀 오래 된 이야기입니다만. {nl}칼리스 기사단의 연구지원을 위해 왕국군 선발대가 사전답사차 이 곳을 들렀었습니다.{nl}
QUEST_LV_0200_20150714_007241	하지만 그들을 기다리고 있었던 것은 예상치 못한 석화서리였지요.{nl}그 후로 지금까지 그 자리에서.. 유품만이라도 거두고 싶은데 엄두가 안나네요.
QUEST_LV_0200_20150714_007242	상부에서도 수 십명이나 한번에 희생되었다는 걸 좋게 볼 리가 없죠.{nl}그래서 요즘 왕국군과 칼리스 기사단 사이가 좀 그렇습니다.
QUEST_LV_0200_20150714_007243	그 날 비번이었으니 망정이지.. 아, 저도 그 선발대였거든요.{nl}이건 제가 유가족들에게 전달하곘습니다.
QUEST_LV_0200_20150714_007244	고프덴 이 끈질긴 녀석 같으니. {nl}실트의 증표라.. 아, 사람을 앞에 두고 미안했네.{nl}이 귀한 걸 지니고 있으면 석화서리의 저주를 받지 않아. 대단하지 않나?{nl}
QUEST_LV_0200_20150714_007245	자네는 여신의 뜻에 따라 세상을 구하러 다닌다고 들었네. {nl}그렇다면 이 도시도 구해줄 수 있지 않겠나!
QUEST_LV_0200_20150714_007246	우리 고용주께선 이 도시를 되돌리는 것 외엔 그다지 연구 비용을 대주시지 않는단 말이야.{nl}그러니 성과를 내고 싶은 나같은 마법사들은 왕국군과 칼리스 기사단의 눈을 피해 여기서 연구중인게지.
QUEST_LV_0200_20150714_007247	이 정도면 충분하겠군. {nl}좋아 이제 이걸 실트의 증표에 결합시키자고.
QUEST_LV_0200_20150714_007248	일단 결합에 성공했네만.. 효과가 어느 정도일지 가늠이 되지 않는군.{nl}실트의 증표를 줄 테니 이 지역 몬스터들에게 사용해 보게.{nl}
QUEST_LV_0200_20150714_007249	만약 효과가 있다면 뭐라도 반응이 있겠지.{nl}어쩌면 석화의 영향이 사라졌으니 빨라질지도 모르겠군. 아무튼 수고 좀 해주게나.
QUEST_LV_0200_20150714_007250	자네에게 실트의 증표를 넘겨줬으니 여기에 석화서리가 불어닥치면 난 끝장일세.{nl}최대한 일을 빨리 마무리 지어주게나.
QUEST_LV_0200_20150714_007251	효과적이었단 말이지? {nl}그럼 이제 이걸 증폭시키기만 하면 되겠어!
QUEST_LV_0200_20150714_007252	아차차.. 깜빡 했구먼.{nl}실트의 증표를 반응석으로 증폭시킨다 해도 그 힘은 영원하지 않거든.{nl}
QUEST_LV_0200_20150714_007253	{memo X}그렇지, 그렇지.. 석화서리가 불어닥칠 때만 스스로 작동하도록 해야겠군.{nl}석화탐지기라도 어디서 구해야겠어.
QUEST_LV_0200_20150714_007254	{memo X}석화탐지기만 가져와 준다면 나머진 내가 알아서 하지.{nl}자네는 이 실험에 기여가 컸으니 내가 실표의 증표 효과를 주겠네.{nl}그리 오래가진 않겠다만..
QUEST_LV_0200_20150714_007255	이전에도 시도는 있었지.{nl}룩소나 재건단이라고, 따로 연구실을 지어서 석화의 저주에 대해 연구했었네.{nl}
QUEST_LV_0200_20150714_007256	하지만 큰 사고가 나고 말았지.. 마족들이 쳐들어온게야.{nl}대부분 마족에게 살해당했거나 실험 장치에 석화되어버렸어.{nl}
QUEST_LV_0200_20150714_007257	이 실트의 증표.. 나에겐 참 많은 것을 떠올리게 하는 물건이야.{nl}연구의 성과가 점점 나오고 있을 때라서 정말 안타까웠어.
QUEST_LV_0200_20150714_007258	형님들이 게로베 공방 터에 모아둔 물건들을 나 혼자서 지키라지 뭐야.{nl}이게 말이나 되냔 말이야. 그냥 몬스터한테 지키라고 하지?{nl}
QUEST_LV_0200_20150714_007259	아! 진짜로 그렇게 하면 되겠네.{nl}이봐. 날 조금만 도와 줄 수 있을까?
QUEST_LV_0200_20150714_007260	겁쟁이 디코 도굴단 녀석들이 아직 여기까지 오지 않아서 다행이야.{nl}가져갈 수 있는 건 얼마 있지도 않은데 벌떼처럼 달려드니 원.
QUEST_LV_0200_20150714_007261	좋아. 그 정도 처리했으면 이제 슬슬 작업을 시작할 수 있겠는걸?
QUEST_LV_0200_20150714_007262	게로베 공방터에 우리 도굴단이 작업해둔 궤짝이 몇 개 있어.{nl}거기에 벨라스 풀잎을 짓이겨서 발라두면 몬스터들이 몰려들거야.{nl}
QUEST_LV_0200_20150714_007263	하지만 조심해야해.{nl}몬스터가 너까지 소중히 여기는 건 아니니까 대충 상대해주다 도망쳐 나오라고.
QUEST_LV_0200_20150714_007264	덕분에 당분간 여길 좀 비워도 괜찮을 거 같다.{nl}
QUEST_LV_0200_20150714_007265	디코 도굴단 본적 없지? {nl}사실 나도 아직 본적은 없는데 아만다가 조심하라고 하더라고.
QUEST_LV_0200_20150714_007266	제가 준비하는 동안 실험장소가 될 군사 지구의 몬스터를 모두 정리해 주세요.{nl}혹시나 방해받거나 들키기라도 하면 큰일이니까요.
QUEST_LV_0200_20150714_007267	여기 성곽 위는 그나마 안전한 편이에요. {nl}조금만 벗어나도 몬스터와 도굴꾼들이 득실대거든요.{nl}물론 왕국군도요.
QUEST_LV_0200_20150714_007268	아무리 상관의 명령이라지만 다른 것도 아니고 칼리스 기사단들 때문에..{nl}이런 곳에서 경비를 선다는 게 어떤 기분인지 당신은 모를 겁니다.
QUEST_LV_0200_20150714_007269	여태까지는 시간이 멈춰진 유산들만 보셨겠지요. {nl}하지만 제가 온 이상 다를 거예요.
QUEST_LV_0200_20150714_007270	여기는 지대가 높으니 내려다 보면서 실험을 진행하겠습니다.{nl}당신은 군사지구의 포탈을 작동시켜 주세요.
QUEST_LV_0200_20150714_007271	너무 걱정 마세요.{nl}모든 건 그 당시의 기억일 뿐이니 당신에게 해를 끼칠 일은 절대로 없을 겁니다.
QUEST_LV_0200_20150714_007272	미안해요. 다친 덴 없으신가요?{nl}제 예상 범위를 넘어설 줄은 몰랐어요.{nl}
QUEST_LV_0200_20150714_007273	그런데 대체 그건.. 마족? 제가 본게 확실한가요?{nl}지금으로선 도무지 알 길이 없군요. 대지의 요새로 통하는 포탈을 더 조율해봐야 알 것 같아요.
QUEST_LV_0200_20150714_007274	좀 위험하지만.. 당신께 거래를 제안하고 싶습니다.{nl}사실 저희는 아만다 도굴단과 협력중이지요. 네. 정신나간 짓인 건 알고 있습니다.{nl}
QUEST_LV_0200_20150714_007275	하지만 원하는 걸 얻으려면 이 정도 위험 쯤은 감수해야지요.{nl}당신은 아만다 도굴단이 이 도시에 들어올 수 있도록 조금만 손을 써 주시면 됩니다.
QUEST_LV_0200_20150714_007276	이 도시의 저주가 풀리면 죽은 사람들도 다시 돌아올까요?{nl}그건 아니겠지요. 하지만 앞으로가 더 중요한 겁니다.
QUEST_LV_0200_20150714_007277	일분 일초 목숨을 내어 놓는 듯한 느낌입니다.{nl}그래도 꾸준히 문제가 생기지 않도록 도와주고 있습니다.
QUEST_LV_0200_20150714_007278	우린 디코 도굴단 녀석들처럼 상도도 모르는 건달들과는 다르다고.{nl}이번에 잘 도와준다면 언젠가 꼭 이 빚은 갚도록 하지.
QUEST_LV_0200_20150714_007279	경비병들이 무슨 소란인지 물어보기에 당신의 활약인 양 이야기 해 두었습니다.{nl}별 문제는 없을 겁니다. {nl}
QUEST_LV_0200_20150714_007280	여기서 이 도시를 바라보고 있으면 마치 시간이 멈춘 것 같지요.{nl}하지만 온갖 종류의 사건들이 매일 벌어지고 있습니다.{nl}{nl}
QUEST_LV_0200_20150714_007281	스테포나스라는 도굴꾼을 이쪽으로 들여와야 합니다.{nl}석화서리 연구의 핵심이 될 서리핵을 그 친구가 구해줄 수 있다고 했거든요.{nl}
QUEST_LV_0200_20150714_007282	일단 물레방앗간 폐허를 비워야 하는데 제가 일을 벌이기엔 의심을 받을 수 있으니..{nl}왕국군에게 신임을 받는 당신이 도와주셨으면 합니다.
QUEST_LV_0200_20150714_007283	한 두번 당하다 보면 경계 범위를 좀 더 촘촘히 하겠지요.{nl}아니면 대규모로 군대를 끌고 들어온다거나.. 하지만 왕국 사정상 그렇겐 힘들 겁니다.
QUEST_LV_0200_20150714_007284	이제 당신은 물레방앗간 폐허의 경비병들을 꾀어 내 주십시오.{nl}하구 둑 삼거리의 몬스터가 마구 날뛴다고 전해주시기만 하면 됩니다.{nl}
QUEST_LV_0200_20150714_007285	그 틈을 타서 스테포나스가 몰래 지나갈 겁니다.{nl}물론 당신은 그들의 신임도 얻을 수 있겠지요.
